theta_deg,phi_deg,gain_dBi
26,0,4.805241
26,5,4.805241
26,10,4.805241
26,15,4.805241
26,20,4.805241
26,25,4.805241
26,30,4.805241
26,35,4.805241
26,40,4.805241
26,45,4.805241
26,50,4.805241
26,55,4.805241
26,60,4.805241
26,65,4.805241
26,70,4.805241
26,75,4.805241
26,80,4.805241
26,85,4.805241
26,90,4.805241
26,95,4.805241
26,100,4.805241
26,105,4.805241
26,110,4.805241
26,115,4.805241
26,120,4.805241
26,125,4.805241
26,130,4.805241
26,135,4.805241
26,140,4.805241
26,145,4.805241
26,150,4.805241
26,155,4.805241
26,160,4.805241
26,165,4.805241
26,170,4.805241
26,175,4.805241
26,180,4.805241
26,185,4.805241
26,190,4.805241
26,195,4.805241
26,200,4.805241
26,205,4.805241
26,210,4.805241
26,215,4.805241
26,220,4.805241
26,225,4.805241
26,230,4.805241
26,235,4.805241
26,240,4.805241
26,245,4.805241
26,250,4.805241
26,255,4.805241
26,260,4.805241
26,265,4.805241
26,270,4.805241
26,275,4.805241
26,280,4.805241
26,285,4.805241
26,290,4.805241
26,295,4.805241
26,300,4.805241
26,305,4.805241
26,310,4.805241
26,315,4.805241
26,320,4.805241
26,325,4.805241
26,330,4.805241
26,335,4.805241
26,340,4.805241
26,345,4.805241
26,350,4.805241
26,355,4.805241
26,360,4.805241
28,0,3.105684
28,5,3.105684
28,10,3.105684
28,15,3.105684
28,20,3.105684
28,25,3.105684
28,30,3.105684
28,35,3.105684
28,40,3.105684
28,45,3.105684
28,50,3.105684
28,55,3.105684
28,60,3.105684
28,65,3.105684
28,70,3.105684
28,75,3.105684
28,80,3.105684
28,85,3.105684
28,90,3.105684
28,95,3.105684
28,100,3.105684
28,105,3.105684
28,110,3.105684
28,115,3.105684
28,120,3.105684
28,125,3.105684
28,130,3.105684
28,135,3.105684
28,140,3.105684
28,145,3.105684
28,150,3.105684
28,155,3.105684
28,160,3.105684
28,165,3.105684
28,170,3.105684
28,175,3.105684
28,180,3.105684
28,185,3.105684
28,190,3.105684
28,195,3.105684
28,200,3.105684
28,205,3.105684
28,210,3.105684
28,215,3.105684
28,220,3.105684
28,225,3.105684
28,230,3.105684
28,235,3.105684
28,240,3.105684
28,245,3.105684
28,250,3.105684
28,255,3.105684
28,260,3.105684
