x,y,z
7.19999980926514,8.69999980926514,0
8.19999980926514,12.1000003814697,0.600000023841858
7.19999980926514,11.3000001907349,0.600000023841858
8.19999980926514,11.3000001907349,0.600000023841858
8.19999980926514,8.69999980926514,0
7.19999980926514,12.1000003814697,0.600000023841858
9.69999980926514,12.1000003814697,0.600000023841858
8.69999980926514,11.3000001907349,0.600000023841858
9.69999980926514,11.3000001907349,0.600000023841858
7.19999980926514,12.1000003814697,0
7.19999980926514,11.3000001907349,0
8.19999980926514,11.3000001907349,0
8.19999980926514,12.1000003814697,0
8.69999980926514,12.1000003814697,0
8.69999980926514,11.3000001907349,0
8.69999980926514,12.1000003814697,0.600000023841858
9.69999980926514,12.1000003814697,0
9.69999980926514,11.3000001907349,0
11.1999998092651,12.1000003814697,0.600000023841858
10.1999998092651,12.1000003814697,0.600000023841858
10.1999998092651,11.3000001907349,0.600000023841858
10.1999998092651,11.3000001907349,0
11.1999998092651,11.3000001907349,0
11.1999998092651,11.3000001907349,0.600000023841858
10.1999998092651,12.1000003814697,0
11.1999998092651,12.1000003814697,0
12.6999998092651,12.1000003814697,0.600000023841858
11.6999998092651,12.1000003814697,0.600000023841858
11.6999998092651,11.3000001907349,0
11.6999998092651,12.1000003814697,0
12.6999998092651,12.1000003814697,0
13.1999998092651,11.3000001907349,0.600000023841858
14.1999998092651,11.3000001907349,0.600000023841858
14.1999998092651,12.1000003814697,0
14.1999998092651,11.3000001907349,0
13.1999998092651,11.3000001907349,0
5,12.5,0.200000002980232
5,12.5,0
5,7.5,0.200000002980232
5,7.5,0
